,uf_sigla,cod_regsaud,regiao_saude,ano,mes,quantidade,ano_mes
466,GO,52005,Estrada de Ferro,2020,05,356,2020-05
467,GO,52006,Nordeste I,2020,04,65,2020-04
468,GO,52011,Pirineus,2020,04,636,2020-04
469,GO,52017,Sul,2020,04,294,2020-04
470,GO,52007,Nordeste II,2020,04,144,2020-04
471,GO,52010,Oeste II,2020,04,135,2020-04
472,GO,52016,Sudoeste II,2020,04,277,2020-04
473,GO,52018,São Patrício II,2020,04,201,2020-04
474,GO,52002,Centro Sul,2020,04,1138,2020-04
475,GO,52012,Rio Vermelho,2020,04,239,2020-04
476,GO,52013,São Patrício I,2020,04,197,2020-04
477,GO,52003,Entorno Norte,2020,04,362,2020-04
478,GO,52005,Estrada de Ferro,2020,04,348,2020-04
479,GO,52001,Central,2020,04,2322,2020-04
480,GO,52008,Norte,2020,04,142,2020-04
481,GO,52004,Entorno Sul,2020,04,1102,2020-04
482,GO,52009,Oeste I,2020,04,121,2020-04
483,GO,52015,Sudoeste I,2020,04,521,2020-04
484,GO,52014,Serra da Mesa,2020,04,122,2020-04
485,GO,52004,Entorno Sul,2020,03,1191,2020-03
486,GO,52008,Norte,2020,03,163,2020-03
487,GO,52016,Sudoeste II,2020,03,283,2020-03
488,GO,52014,Serra da Mesa,2020,03,136,2020-03
489,GO,52009,Oeste I,2020,03,132,2020-03
490,GO,52007,Nordeste II,2020,03,133,2020-03
491,GO,52015,Sudoeste I,2020,03,601,2020-03
492,GO,52010,Oeste II,2020,03,132,2020-03
493,GO,52018,São Patrício II,2020,03,209,2020-03
494,GO,52011,Pirineus,2020,03,644,2020-03
495,GO,52013,São Patrício I,2020,03,177,2020-03
496,GO,52001,Central,2020,03,2324,2020-03
497,GO,52006,Nordeste I,2020,03,52,2020-03
498,GO,52003,Entorno Norte,2020,03,340,2020-03
499,GO,52002,Centro Sul,2020,03,1168,2020-03
500,GO,52017,Sul,2020,03,300,2020-03
501,GO,52012,Rio Vermelho,2020,03,234,2020-03
502,GO,52005,Estrada de Ferro,2020,03,334,2020-03
503,GO,52001,Central,2020,02,2002,2020-02
504,GO,52014,Serra da Mesa,2020,02,110,2020-02
505,GO,52018,São Patrício II,2020,02,174,2020-02
506,GO,52016,Sudoeste II,2020,02,272,2020-02
